Date,Booking text,ZKB reference,Reference number,Debit CHF,Credit CHF,Value date,Balance CHF
01.11.2025,Pharmacy purchase at Amavita,ZKB/C63456D7,7827186187,70.76,,01.11.2025,7879.06
01.11.2025,Car Insurance Bill,ZKB/90C096C7,5473727101,185.32,,01.11.2025,1319.76
02.11.2025,Zürich Water Utility Payment,ZKB/AE805D02,2565961430,172.94,,02.11.2025,3926.2
02.11.2025,Parking Fee Zürich,ZKB/D8641FD2,3702514313,251.4,,02.11.2025,-1775.58
02.11.2025,Zara Clothing Purchase,ZKB/215ECE28,6857412552,171.06,,02.11.2025,-1946.64
02.11.2025,Gift purchase at Orell Füssli,ZKB/DF6119CA,5417063711,278.15,,02.11.2025,-2451.69
02.11.2025,Coop Supermarkt Shopping,ZKB/9F069459,8290188771,133.15,,02.11.2025,-3593.64
03.11.2025,Parking Fee Zürich,ZKB/116A7473,4621320035,293.79,,03.11.2025,1652.26
04.11.2025,Sunrise Internet Bill,ZKB/E4817649,0534652277,261.93,,04.11.2025,5801.65
04.11.2025,Globus Fashion Store,ZKB/BBA6F6DA,8496923671,291.91,,04.11.2025,639.11
04.11.2025,Sunrise Internet Bill,ZKB/D71D902E,6913618971,74.65,,04.11.2025,-1524.18
04.11.2025,Globus Fashion Store,ZKB/E3F41158,5767822371,169.45,,04.11.2025,-2639.66
05.11.2025,Monthly Salary Payment,ZKB/2B02B887,8722660162,,6500,05.11.2025,11500
05.11.2025,Zürich Water Utility Payment,ZKB/F76EE174,8594934793,121.03,,05.11.2025,5254.13
05.11.2025,Drogerie Müller,ZKB/016E8D84,9898741647,268.9,,05.11.2025,2197.43
05.11.2025,Mastercard Retail Purchase – Travel Booking via SBB,ZKB/223EA589,6130019130,45.94,,05.11.2025,-2769.1
06.11.2025,Doctor visit at Permanence Hauptbahnhof,ZKB/63F2F89D,3793713127,236.87,,06.11.2025,8779.92
06.11.2025,Swisscom Mobile Subscription,ZKB/EA4E1639,2517299739,141.66,,06.11.2025,6358.39
06.11.2025,EWZ Electricity Bill,ZKB/0842E496,9214779282,109.75,,06.11.2025,-2173.54
07.11.2025,Gift purchase at Orell Füssli,ZKB/65BE7560,1688445492,220.5,,07.11.2025,6500.05
07.11.2025,Zara Clothing Purchase,ZKB/8CAF0E35,6898870788,37.94,,07.11.2025,6063.58
07.11.2025,Google Pay Transaction – Swisscom Mobile Subscription,ZKB/AE34A89D,2717171065,226.58,,07.11.2025,4761.91
07.11.2025,Zürich Water Utility Payment,ZKB/8246A975,2105644571,274.56,,07.11.2025,3211.02
07.11.2025,Globus Fashion Store,ZKB/5D773626,7354052491,117.15,,07.11.2025,-2063.79
08.11.2025,Investment Transfer to Trading Account,ZKB/21AA4BA1,6182788688,68.79,,08.11.2025,486.54
09.11.2025,Mastercard Retail Purchase – Coffee at Starbucks Zürich,ZKB/70114E3B,0312048322,298.0,,09.11.2025,7365.9
09.11.2025,Netflix Subscription,ZKB/0CB3FBFA,3268773368,207.64,,09.11.2025,4412.19
09.11.2025,EWZ Electricity Bill,ZKB/CF62C1B7,9876009741,81.58,,09.11.2025,80.19
10.11.2025,Parking Fee Zürich,ZKB/45C9885B,0529714141,175.84,,10.11.2025,931.02
10.11.2025,VISA Online Payment – EWZ Electricity Bill,ZKB/991C33BE,9933078780,288.42,,10.11.2025,-3460.49
11.11.2025,Coop Supermarkt Shopping,ZKB/33074F9D,7654057000,231.39,,11.11.2025,8548.53
11.11.2025,Coffee at Starbucks Zürich,ZKB/5EC12E3A,5639399618,158.28,,11.11.2025,6101.52
11.11.2025,VISA Online Payment – Car Insurance Bill,ZKB/356827DC,7901034270,194.04,,11.11.2025,292.5
