Date,Booking text,ZKB reference,Reference number,Debit CHF,Credit CHF,Value date,Balance CHF
01.12.2025,Monthly Salary Payment,ZKB/FE340AC8,5183154094,,6500,01.12.2025,11500
01.12.2025,3a Pillar Savings Contribution,ZKB/942A2CEC,1408404222,87.77,,01.12.2025,5799.35
01.12.2025,Quarterly Tax Payment to Steueramt Zürich,ZKB/AA454C17,0146627118,181.4,,01.12.2025,887.9
02.12.2025,Donation to Swiss Red Cross,ZKB/B052CF0D,5099333308,197.32,,02.12.2025,8640.66
02.12.2025,Dinner at Restaurant Zeughauskeller,ZKB/6705B79E,7582364501,204.58,,02.12.2025,-1504.42
03.12.2025,Donation to Swiss Red Cross,ZKB/75BF6322,6736706258,137.68,,03.12.2025,5965.9
03.12.2025,Movie Ticket at Pathé Sihlcity,ZKB/4A21D7BA,0029092391,295.01,,03.12.2025,5372.04
03.12.2025,Gas purchase at AVIA,ZKB/BCFF161B,9392055967,273.63,,03.12.2025,4859.79
03.12.2025,Doctor visit at Permanence Hauptbahnhof,ZKB/3565F686,7185228995,116.12,,03.12.2025,454.74
04.12.2025,Mastercard Retail Purchase – Car Insurance Bill,ZKB/0E7F07FE,2008364343,139.9,,04.12.2025,7265.53
05.12.2025,Doctor visit at Permanence Hauptbahnhof,ZKB/DBF7407B,4038863805,42.02,,05.12.2025,7906.93
05.12.2025,Parking Fee Zürich,ZKB/17C3BEFB,8584415127,77.74,,05.12.2025,7187.79
05.12.2025,Globus Fashion Store,ZKB/6B69DF26,0009837964,119.18,,05.12.2025,5667.05
05.12.2025,Dentist visit at Zurich Dentistry Group,ZKB/85460554,8643441139,230.54,,05.12.2025,3674.54
05.12.2025,Swisscom Mobile Subscription,ZKB/6E86B6BB,7019867154,123.77,,05.12.2025,1141.93
05.12.2025,Google Pay Transaction – CSS Health Insurance Premium,ZKB/3AF761E8,3882254902,143.62,,05.12.2025,-2427.26
06.12.2025,Quarterly Tax Payment to Steueramt Zürich,ZKB/7F9A4183,3147217888,76.06,,06.12.2025,6842.48
06.12.2025,Google Pay Transaction – Drogerie Müller,ZKB/C50B80ED,3705757542,20.98,,06.12.2025,-756.44
07.12.2025,Gift purchase at Orell Füssli,ZKB/401DE39A,3969200937,54.74,,07.12.2025,2564.48
07.12.2025,TWINT Purchase – Building Maintenance Fee,ZKB/8B3C71C9,0141852340,115.01,,07.12.2025,2449.47
07.12.2025,Drogerie Müller,ZKB/D3E0A0B2,5664574330,110.31,,07.12.2025,1805.73
08.12.2025,Donation to Swiss Red Cross,ZKB/655D5F8A,7039885412,103.62,,08.12.2025,3224.02
08.12.2025,Coffee at Starbucks Zürich,ZKB/A846E3FD,2174478554,128.86,,08.12.2025,2619.22
08.12.2025,TWINT Purchase – Spotify Subscription,ZKB/2ED2B062,2794117717,215.4,,08.12.2025,-735.46
09.12.2025,Mastercard Retail Purchase – Migros Einkauf,ZKB/A734F8A9,3422608988,212.62,,09.12.2025,6103.58
09.12.2025,Zürich Water Utility Payment,ZKB/C85C39DB,0292769347,78.78,,09.12.2025,5887.12
09.12.2025,EWZ Electricity Bill,ZKB/F6BC344A,9186478177,70.24,,09.12.2025,4572.29
09.12.2025,TWINT Purchase – Zürich Water Utility Payment,ZKB/F2DC048D,8913026499,156.91,,09.12.2025,-913.35
10.12.2025,Investment Transfer to Trading Account,ZKB/1FCE7457,6561638061,14.88,,10.12.2025,-928.23
