Date,Booking text,ZKB reference,Reference number,Debit CHF,Credit CHF,Value date,Balance CHF
01.01.2026,Denner Lebensmittel,ZKB/51D1B5CB,5133564476,119.95,,01.01.2026,6011.65
01.01.2026,Swisscom Mobile Subscription,ZKB/7B6952A9,4350072467,153.61,,01.01.2026,5418.05
01.01.2026,Mastercard Retail Purchase – Building Maintenance Fee,ZKB/3AA20F58,7327282519,166.91,,01.01.2026,4978.98
01.01.2026,Quarterly Tax Payment to Steueramt Zürich,ZKB/1F19E353,1219946886,185.34,,01.01.2026,1638.23
01.01.2026,Sunrise Internet Bill,ZKB/0A39B28D,7550818485,21.58,,01.01.2026,1616.65
02.01.2026,Donation to Swiss Red Cross,ZKB/C7BF31E0,7287586095,225.81,,02.01.2026,4031.04
02.01.2026,Quarterly Tax Payment to Steueramt Zürich,ZKB/2E35E303,1727904963,269.36,,02.01.2026,12.77
03.01.2026,Monthly Salary Payment,ZKB/64E88784,3480546206,,6500,03.01.2026,11500
03.01.2026,Coop Supermarkt Shopping,ZKB/6F85C401,6979020862,259.92,,03.01.2026,8840.08
03.01.2026,Zara Clothing Purchase,ZKB/8B0F7250,2860643294,24.05,,03.01.2026,6591.3
03.01.2026,Donation to Swiss Red Cross,ZKB/A70CD47A,7091661752,6.55,,03.01.2026,5411.5
03.01.2026,Globus Fashion Store,ZKB/3703AB5D,3355858993,100.32,,03.01.2026,4878.66
03.01.2026,CSS Health Insurance Premium,ZKB/D65E31CB,5293382861,205.31,,03.01.2026,975.68
03.01.2026,Investment Transfer to Trading Account,ZKB/816E0529,7532715417,266.07,,03.01.2026,709.61
03.01.2026,Hobby Supplies Purchase,ZKB/C9CE469F,9773077401,59.82,,03.01.2026,-127.85
04.01.2026,CSS Health Insurance Premium,ZKB/0F691E5D,5314669445,57.19,,04.01.2026,4821.47
04.01.2026,Doctor visit at Permanence Hauptbahnhof,ZKB/F5CD210E,8584193697,87.29,,04.01.2026,341.31
04.01.2026,Gift purchase at Orell Füssli,ZKB/3668BB82,2105197399,59.18,,04.01.2026,282.13
04.01.2026,Globus Fashion Store,ZKB/DC921C96,8394449047,195.88,,04.01.2026,-1818.8
05.01.2026,Credit Card Bill Payment,ZKB/BD9E1CE1,6284066809,49.7,,05.01.2026,6131.6
05.01.2026,ZVV Monthly Pass Purchase,ZKB/35D1BDE9,0880825924,190.59,,05.01.2026,2351.2
05.01.2026,Hobby Supplies Purchase,ZKB/91AE9B0D,5502037610,264.07,,05.01.2026,428.6
06.01.2026,Zürich Water Utility Payment,ZKB/87B4CCB7,6471080634,98.54,,06.01.2026,3932.5
06.01.2026,VISA Online Payment – Globus Fashion Store,ZKB/B5B7879D,3713343718,201.11,,06.01.2026,3055.6
09.01.2026,Building Maintenance Fee,ZKB/0A0A7F00,4796036552,65.39,,09.01.2026,8774.69
09.01.2026,Parking Fee Zürich,ZKB/3E478F3F,8145271891,189.83,,09.01.2026,6716.18
10.01.2026,ZVV Monthly Pass Purchase,ZKB/31D25623,9887367039,100.83,,10.01.2026,6615.35
10.01.2026,Mastercard Retail Purchase – Donation to Swiss Red Cross,ZKB/BCEE3CA4,8874161885,53.01,,10.01.2026,5358.49
10.01.2026,Gift purchase at Orell Füssli,ZKB/09CD5E75,8939603752,68.42,,10.01.2026,-1079.04
11.01.2026,VISA Online Payment – Parking Fee Zürich,ZKB/F02DC5F1,1667504034,208.28,,11.01.2026,6912.41
11.01.2026,Investment Transfer to Trading Account,ZKB/7D023D9D,0611337118,293.97,,11.01.2026,5632.71
11.01.2026,CSS Health Insurance Premium,ZKB/35F02795,1966283237,58.83,,11.01.2026,-2280.1
12.01.2026,3a Pillar Savings Contribution,ZKB/E17099DE,8013676011,246.31,,12.01.2026,4497.57
12.01.2026,VISA Online Payment – Swisscom Mobile Subscription,ZKB/11C33363,9468676810,187.96,,12.01.2026,2867.64
12.01.2026,VISA Online Payment – Zara Clothing Purchase,ZKB/D2905167,7067749821,235.96,,12.01.2026,2541.79
12.01.2026,EWZ Electricity Bill,ZKB/E8CFFED3,4985410432,36.03,,12.01.2026,-2839.39
13.01.2026,Pharmacy purchase at Amavita,ZKB/52CF3421,7594761966,176.06,,13.01.2026,8341.45
13.01.2026,TWINT Purchase – Haircut at GIDOR Coiffure,ZKB/546D81A0,3502454331,229.45,,13.01.2026,7177.67
13.01.2026,Swisscom Mobile Subscription,ZKB/14B201DB,6215981951,137.19,,13.01.2026,6345.08
13.01.2026,VISA Online Payment – Swisscom Mobile Subscription,ZKB/9BD8469F,5490716960,84.97,,13.01.2026,5926.68
13.01.2026,Zara Clothing Purchase,ZKB/85F3C81D,2202632480,122.75,,13.01.2026,3809.75
13.01.2026,Pharmacy purchase at Amavita,ZKB/B96D9E70,3837511244,16.38,,13.01.2026,-68.03
14.01.2026,VISA Online Payment – 3a Pillar Savings Contribution,ZKB/B6A67BD9,8908201245,13.74,,14.01.2026,7882.54
15.01.2026,Sunrise Internet Bill,ZKB/12CC035A,7553808111,49.2,,15.01.2026,5145.89
15.01.2026,TWINT Purchase – Travel Booking via SBB,ZKB/31F40FDD,4810352491,77.59,,15.01.2026,4743.88
15.01.2026,Swisscom Mobile Subscription,ZKB/B12BE156,2603318957,158.15,,15.01.2026,3503.96
15.01.2026,TWINT Purchase – Doctor visit at Permanence Hauptbahnhof,ZKB/0D3CE159,8433117859,267.61,,15.01.2026,-1622.92
15.01.2026,VISA Online Payment – Dinner at Restaurant Zeughauskeller,ZKB/C600C60C,8771818943,151.66,,15.01.2026,-2803.36
16.01.2026,Mastercard Retail Purchase – Swisscom Mobile Subscription,ZKB/3F58DF5B,0477570567,56.98,,16.01.2026,7120.69
