Date,Booking text,ZKB reference,Reference number,Debit CHF,Credit CHF,Value date,Balance CHF
01.10.2025,"TWINT Zahlung Müller Bäckerei, Zürich",ZKB/F14B1BBC,2141859842,5.40,,02.10.2025,4994.60
03.10.2025,Coop Supermarkt - Migros Cumulus nicht verwendet (receipt),ZKB/1C93C696,2042763677,78.90,,04.10.2025,4915.70
04.10.2025,SBB Bahn - Zürich HB -> Bern (TWINT Ticket),ZKB/44AB82E5,8772731552,29.50,,05.10.2025,4886.20
06.10.2025,Amazon Marketplace DE - Bestellung,ZKB/35534124,2886469953,62.30,,07.10.2025,4823.90
08.10.2025,Swisscom Mobile Abrechnung,ZKB/AA5FE944,9856718198,45.10,,09.10.2025,4778.80
09.10.2025,Netflix Entertainment,ZKB/D66FA348,2981173680,13.99,,10.10.2025,4764.81
11.10.2025,Apple Store App Purchase,ZKB/626EBA71,2102686397,4.99,,12.10.2025,4759.82
13.10.2025,Migros Take Away - Lunch,ZKB/CBD76122,5421830618,12.50,,14.10.2025,4747.32
14.10.2025,Shell Tankstelle - Autobahn,ZKB/B421E1B4,2282598194,60.00,,15.10.2025,4687.32
16.10.2025,Denner Discount,ZKB/4DF2BDA7,7666794923,9.80,,17.10.2025,4677.52
18.10.2025,IKEA Schweiz - Möbel,ZKB/D506D27C,3433611093,149.00,,19.10.2025,4528.52
20.10.2025,Zalando Online Shop,ZKB/831C8493,8903113951,85.20,,21.10.2025,4443.32
21.10.2025,Post CH - Einschreiben,ZKB/25C119F0,3402941352,7.50,,22.10.2025,4435.82
23.10.2025,Manor Modehaus,ZKB/C7B72EC7,6210362155,120.00,,24.10.2025,4315.82
25.10.2025,Hiltl Restaurant - Zürich,ZKB/C7C4559E,9644654970,42.30,,26.10.2025,4273.52
26.10.2025,Uber CH,ZKB/436D80E4,8047235656,18.50,,27.10.2025,4255.02
28.10.2025,Lidl Schweiz,ZKB/E62CCEA1,3373477909,14.25,,29.10.2025,4240.77
30.10.2025,Hotel Motel One - Übernachtung,ZKB/E5C5A419,9564132075,99.00,,31.10.2025,4141.77
01.11.2025,Booking.com - Unterkunft,ZKB/F7736F9B,2765397080,210.45,,02.11.2025,3931.32
03.11.2025,Paypal *Etsy Verkäufer,ZKB/617F7EF2,7122706772,23.10,,04.11.2025,3908.22
05.11.2025,Migrolino Bahnhof,ZKB/EF337C93,1239143849,3.80,,06.11.2025,3904.42
07.11.2025,Swiss Life - Versicherung (Prämie),ZKB/4BE9E020,1889186646,190.00,,08.11.2025,3714.42
09.11.2025,Salary Arbeitgeber GmbH - Lohn,ZKB/C46E56C2,4047447364,,3500.00,10.11.2025,7214.42
11.11.2025,Refund Amazon Marketplace DE,ZKB/428845AA,1054015221,,3500.00,12.11.2025,10714.42
13.11.2025,TWINT Zahlung - Apotheke,ZKB/4E3B952F,4047605243,,5.00,14.11.2025,10719.42
15.11.2025,Chargeback - Restaurant (reversal),ZKB/1330494F,5438753136,45.00,,16.11.2025,10674.42
17.11.2025,Donation - Hilfswerk,ZKB/190A1CEF,1791741891,25.00,,18.11.2025,10649.42
19.11.2025,MediaMarkt Schweiz - Elektronik,ZKB/F9D79BD4,6698267626,199.00,,20.11.2025,10450.42
21.11.2025,RailAway Gutschein Kauf,ZKB/2861610E,6541011147,39.90,,22.11.2025,10410.52
23.11.2025,SBB Railcard Purchase,ZKB/70A3DC52,4857017738,49.00,,24.11.2025,10361.52
